File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,1/03/2006 18:10,Supervisor,MAD213,694,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1471,5.7716,0.1043,34.5781,0.2295,< LOD,0.0113,0.1656,0.0084,3.2741,0.0227,0.5022,0.0099,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0021,0.0018,,,,,0.0378,0.0013,0.003,0.0004,,,< LOD,0.0005,0.0013,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0041,< LOD,0.0095,,,< LOD,0.0012,< LOD,0.0036,,,,,,,,,,,0.0013,0.0012,0.0069,0.0016,,,,,3,Passed,,
214,1/03/2006 18:11,Supervisor,MAD213,694.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1374,8.0015,0.1192,35.3631,0.2324,0.0128,0.0116,0.1215,0.0075,3.7596,0.0241,0.586,0.0107,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0021,0.0018,,,,,0.0421,0.0013,0.0032,0.0004,,,< LOD,0.0005,0.001,0.0005,,,,,,,,,,,,,,,0.0015,0.0013,,,,,< LOD,0.0043,< LOD,0.0096,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.0083,0.0016,,,,,3,Passed,,
215,1/03/2006 18:13,Supervisor,MAD213,695,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1452,6.8183,0.1098,33.394,0.2244,< LOD,0.0111,0.1692,0.0084,5.6888,0.029,0.3132,0.0093,< LOD,0.0927,,,< LOD,0.0242,< LOD,0.0219,0.1712,0.0285,,,< LOD,0.003,< LOD,0.0006,0.0019,0.0016,0.002,0.0017,,,,,0.0631,0.0017,0.003,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0043,< LOD,0.0091,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.008,0.0016,,,,,3,Passed,,
216,1/03/2006 18:14,Supervisor,MAD213,695.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1853,0.1412,8.851,0.1226,36.3217,0.2376,0.0131,0.0106,0.0757,0.0063,6.6084,0.031,0.2764,0.0094,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0026,0.0018,,,,,0.045,0.0014,0.004,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0047,< LOD,0.0094,,,< LOD,0.0012,< LOD,0.0035,,,,,,,,,,,< LOD,0.0012,0.0094,0.0017,,,,,3,Passed,,
217,1/03/2006 18:16,Supervisor,MAD213,696,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1471,12.1613,0.1397,33.5272,0.226,0.0142,0.0109,0.1032,0.0072,10.2219,0.0375,0.1979,0.0097,,,,,,,,,,,,,,,,,0.0024,0.0016,0.0028,0.0018,,,,,0.0937,0.0021,0.0034,0.0005,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,0.0054,0.0049,0.0087,0.0086,,,< LOD,0.0011,< LOD,0.004,,,,,,,,,,,< LOD,0.0013,0.0122,0.0018,,,,,3,Passed,,
218,1/03/2006 18:17,Supervisor,MAD213,696.5,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.1805,0.1338,5.8147,0.1068,37.5189,0.2411,< LOD,0.0103,0.1221,0.0071,0.2909,0.0078,0.9378,0.0118,< LOD,0.0844,,,< LOD,0.0212,< LOD,0.0198,0.8835,0.0602,,,< LOD,0.0032,< LOD,0.0006,0.0041,0.0018,< LOD,0.0017,,,,,0.0014,0.0004,0.0033,0.0005,,,< LOD,0.0005,0.0006,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0042,< LOD,0.0098,,,< LOD,0.0011,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0037,0.0014,,,,,3,Passed,,
219,1/03/2006 18:19,Supervisor,MAD213,697,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1277,4.5413,0.0894,26.6101,0.1926,< LOD,0.0102,0.0557,0.0059,4.3398,0.0255,0.1973,0.0075,< LOD,0.0743,,,< LOD,0.0239,< LOD,0.0215,0.1057,0.0238,,,< LOD,0.0051,< LOD,0.001,< LOD,0.0014,< LOD,0.0016,,,,,0.055,0.0019,0.0019,0.0004,,,< LOD,0.0004,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0034,0.0111,0.0085,,,< LOD,0.0011,< LOD,0.0043,,,,,,,,,,,< LOD,0.0013,0.0059,0.0015,,,,,3,Passed,,
220,1/03/2006 18:24,Supervisor,MAD213,697.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1427,5.6282,0.1086,36.2533,0.2366,0.0186,0.0114,0.0859,0.0066,0.5619,0.0104,0.8349,0.0116,0.133,0.0965,,,< LOD,0.0244,< LOD,0.0212,3.4224,0.115,,,< LOD,0.0027,< LOD,0.0007,0.0021,0.0018,0.0027,0.0018,,,,,0.0059,0.0007,0.0009,0.0004,,,< LOD,0.0005,0.0006,0.0005,,,,,,,,,,,,,,,0.0019,0.0013,,,,,< LOD,0.0048,< LOD,0.0093,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0066,0.0015,,,,,3,Passed,,
221,1/03/2006 18:27,Supervisor,MAD213,698,Li Index,Li Index,65,No Match,0,,0,,0,,,,,0.1716,0.1544,9.0575,0.1239,33.8056,0.2271,< LOD,0.0114,0.0785,0.0067,7.8148,0.0335,0.2581,0.0095,0.0158,0.014,,,< LOD,0.0043,0.0052,0.0046,0.1938,0.0122,,,< LOD,0.0013,< LOD,0.0003,0.0023,0.0016,< LOD,0.0017,,,,,0.0654,0.0017,0.003,0.0005,,,< LOD,0.0005,0.0005,0.0004,,,,,,,,,,,,,,,0.0015,0.0012,,,,,< LOD,0.0047,0.0091,0.009,,,< LOD,0.0012,< LOD,0.0037,,,,,,,,,,,< LOD,0.0012,0.0112,0.0018,,,,,3,Passed,,
222,1/03/2006 18:28,Supervisor,MAD213,698.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1468,9.0106,0.1224,32.7811,0.2222,0.0314,0.0126,0.0935,0.0071,8.6489,0.0349,0.2715,0.0098,,,,,,,,,,,,,,,,,< LOD,0.0015,< LOD,0.0017,,,,,0.0766,0.0019,0.0034,0.0004,,,< LOD,0.0005,0.0006,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0046,< LOD,0.0089,,,< LOD,0.0011,< LOD,0.0039,,,,,,,,,,,< LOD,0.0012,0.008,0.0016,,,,,3,Passed,,
223,1/03/2006 18:30,Supervisor,MAD213,699,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.1635,0.1367,2.9717,0.0823,41.6586,0.2621,< LOD,0.0102,0.0678,0.006,0.2889,0.0079,0.4722,0.0089,0.2135,0.0974,,,< LOD,0.017,0.0363,0.0221,0.8444,0.0581,,,< LOD,0.0027,0.0008,0.0006,0.0026,0.0017,< LOD,0.0016,,,,,0.006,0.0006,0.0011,0.0004,,,< LOD,0.0005,0.0017,0.0005,,,,,,,,,,,,,,,0.0013,0.0012,,,,,< LOD,0.0042,< LOD,0.0096,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.007,0.0015,,,,,3,Passed,,
224,1/03/2006 18:31,Supervisor,MAD213,699.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1569,0.1362,5.8837,0.1072,37.1657,0.2396,0.0167,0.0113,0.1484,0.0077,0.2381,0.0072,0.9596,0.0119,< LOD,0.0931,,,< LOD,0.0258,< LOD,0.0234,0.4792,0.0465,,,< LOD,0.0032,< LOD,0.0006,0.0021,0.0016,0.0019,0.0018,,,,,0.002,0.0004,0.0005,0.0004,,,< LOD,0.0006,0.0014,0.0005,,,,,,,,,,,,,,,< LOD,0.0013,,,,,0.0048,0.0042,< LOD,0.0101,,,0.0015,0.0012,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0037,0.0014,,,,,3,Passed,,
225,1/03/2006 18:33,Supervisor,MAD213,700,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1331,1.0238,0.0575,46.6325,0.2891,< LOD,0.0102,0.0771,0.0062,0.134,0.0061,0.156,0.0059,,,,,,,,,,,,,,,,,< LOD,0.0017,< LOD,0.0015,,,,,0.0011,0.0004,< LOD,0.0003,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0042,< LOD,0.0103,,,< LOD,0.001,< LOD,0.0032,,,,,,,,,,,< LOD,0.0009,< LOD,0.001,,,,,3,Passed,,
226,1/03/2006 18:34,Supervisor,MAD213,700.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1503,7.1533,0.1132,35.6027,0.2345,< LOD,0.0111,0.2046,0.009,5.1128,0.0277,0.4652,0.0102,,,,,,,,,,,,,,,,,< LOD,0.0016,< LOD,0.0017,,,,,0.0533,0.0016,0.0032,0.0004,,,< LOD,0.0005,0.0033,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0043,< LOD,0.0091,,,0.0012,0.0011,< LOD,0.0038,,,,,,,,,,,0.0014,0.0011,0.0108,0.0017,,,,,3,Passed,,
227,1/03/2006 18:36,Supervisor,MAD213,701,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1412,0.1328,8.1749,0.119,36.8597,0.239,< LOD,0.0099,0.0426,0.0055,4.7934,0.0268,0.3506,0.0094,,,,,,,,,,,,,,,,,< LOD,0.0015,< LOD,0.0016,,,,,0.0511,0.0015,0.0033,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0043,< LOD,0.0091,,,0.0011,0.0011,< LOD,0.0036,,,,,,,,,,,< LOD,0.0012,0.0089,0.0016,,,,,3,Passed,,
228,1/03/2006 18:38,Supervisor,MAD213,701.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1654,0.1534,5.882,0.1031,30.7373,0.2129,0.0565,0.0139,0.2347,0.0098,4.8697,0.0272,0.3943,0.0096,,,,,,,,,,,,,,,,,< LOD,0.0015,< LOD,0.0017,,,,,0.0629,0.0018,0.003,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0039,0.0108,0.0089,,,< LOD,0.0012,< LOD,0.0036,,,,,,,,,,,0.0012,0.0011,0.0089,0.0017,,,,,3,Passed,,
229,1/03/2006 18:39,Supervisor,MAD213,702,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1683,0.1277,6.8747,0.1138,39.4441,0.2501,< LOD,0.0098,0.0436,0.0053,0.2231,0.0072,0.943,0.0119,< LOD,0.0896,,,< LOD,0.0202,0.0225,0.0205,0.2281,0.0323,,,< LOD,0.0021,< LOD,0.0005,< LOD,0.0016,0.0022,0.0018,,,,,0.003,0.0005,0.0022,0.0004,,,< LOD,0.0005,0.002,0.0006,,,,,,,,,,,,,,,0.0018,0.0013,,,,,< LOD,0.0042,< LOD,0.01,,,< LOD,0.0011,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0043,0.0014,,,,,3,Passed,,
230,1/03/2006 18:41,Supervisor,MAD213,702.5,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1409,6.3998,0.1062,30.2031,0.2093,0.0126,0.0113,0.1984,0.0089,5.1732,0.0277,0.3814,0.0093,< LOD,0.0694,,,< LOD,0.0249,< LOD,0.0178,0.1243,0.0237,,,< LOD,0.0019,< LOD,0.0005,< LOD,0.0016,0.0022,0.0018,,,,,0.0356,0.0013,< LOD,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,0.0022,0.0013,,,,,< LOD,0.0042,0.0095,0.0093,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.0059,0.0016,,,,,3,Passed,,
231,1/03/2006 18:42,Supervisor,MAD213,703,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1242,0.1196,3.7425,0.085,29.93,0.206,< LOD,0.0094,0.0427,0.0054,1.7437,0.0168,0.3413,0.0079,< LOD,0.075,,,< LOD,0.0219,< LOD,0.0164,0.2169,0.0298,,,< LOD,0.0023,< LOD,0.0006,< LOD,0.0015,< LOD,0.0016,,,,,0.0238,0.0012,< LOD,0.0004,,,< LOD,0.0005,0.0034,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0033,< LOD,0.0088,,,< LOD,0.0011,< LOD,0.0037,,,,,,,,,,,< LOD,0.0011,0.0047,0.0014,,,,,3,Passed,,
232,1/03/2006 18:44,Supervisor,MAD213,703.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1447,5.8139,0.1037,34.0595,0.2273,< LOD,0.0113,0.4194,0.0121,4.2714,0.0255,0.4194,0.0096,< LOD,0.0825,,,< LOD,0.0266,< LOD,0.0215,0.1366,0.0265,,,0.0044,0.004,< LOD,0.0008,< LOD,0.0016,< LOD,0.0017,,,,,0.0503,0.0015,0.0023,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0042,< LOD,0.0093,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.008,0.0016,,,,,3,Passed,,
233,1/03/2006 18:45,Supervisor,MAD213,704,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1435,8.0952,0.1183,37.9858,0.2456,0.0139,0.0109,0.068,0.0061,6.8621,0.0315,0.1782,0.0087,,,,,,,,,,,,,,,,,0.002,0.0016,< LOD,0.0016,,,,,0.0676,0.0018,0.0034,0.0004,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,0.005,0.0046,0.0126,0.009,,,< LOD,0.0011,< LOD,0.0039,,,,,,,,,,,< LOD,0.0013,0.0085,0.0016,,,,,3,Passed,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Multiplier,Cal Check,,
235,1/03/2006 18:48,Supervisor,MAD213,704.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1343,5.4208,0.1028,30.3919,0.2089,< LOD,0.0115,0.3047,0.0106,0.3151,0.0082,1.1272,0.0125,,,,,,,,,,,,,,,,,< LOD,0.0015,0.0025,0.0018,,,,,0.0042,0.0006,0.0038,0.0005,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,0.004,0.0035,< LOD,0.0095,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.001,0.0044,0.0015,,,,,3,Passed,,
236,1/03/2006 18:50,Supervisor,MAD213,705,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1694,0.1371,6.3096,0.1084,38.6166,0.2472,< LOD,0.0104,0.0943,0.0067,2.4769,0.02,0.5583,0.0102,,,,,,,,,,,,,,,,,0.0019,0.0016,0.0021,0.0017,,,,,0.0218,0.001,0.0045,0.0005,,,< LOD,0.0006,0.0015,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0042,< LOD,0.0097,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,< LOD,0.0011,0.0071,0.0015,,,,,3,Passed,,
237,1/03/2006 18:51,Supervisor,MAD213,705.5,Li Index,Li Index,66,No Match,0,,0,,0,,,,,< LOD,0.155,5.9808,0.1056,32.0913,0.2187,< LOD,0.0119,0.0824,0.0072,3.6066,0.0238,0.3455,0.0091,0.0239,0.0134,,,< LOD,0.0035,0.0043,0.004,0.1668,0.0104,,,< LOD,0.0011,< LOD,0.0003,< LOD,0.0015,0.0025,0.0018,,,,,0.041,0.0014,0.0025,0.0005,,,< LOD,0.0005,0.0006,0.0004,,,,,,,,,,,,,,,< LOD,0.0013,,,,,< LOD,0.0039,0.0126,0.0093,,,< LOD,0.0012,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.008,0.0017,,,,,3,Passed,,
238,1/03/2006 18:53,Supervisor,MAD213,706,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1448,0.1319,6.2838,0.1092,37.095,0.239,< LOD,0.011,0.066,0.006,0.555,0.0102,0.9587,0.012,,,,,,,,,,,,,,,,,0.0019,0.0016,< LOD,0.0017,,,,,0.0043,0.0005,0.0042,0.0005,,,< LOD,0.0005,0.0007,0.0005,,,,,,,,,,,,,,,0.0019,0.0013,,,,,< LOD,0.0041,< LOD,0.01,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0053,0.0015,,,,,3,Passed,,
239,1/03/2006 18:54,Supervisor,MAD213,706.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1502,6.355,0.1099,35.8894,0.2361,< LOD,0.0126,0.3345,0.0112,2.8369,0.0214,0.7446,0.0115,,,,,,,,,,,,,,,,,0.0024,0.0016,0.0028,0.0018,,,,,0.0315,0.0012,0.0037,0.0005,,,< LOD,0.0005,0.0008,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0041,< LOD,0.0095,,,< LOD,0.0011,< LOD,0.0035,,,,,,,,,,,0.0013,0.0011,0.0069,0.0015,,,,,3,Passed,,
240,1/03/2006 18:56,Supervisor,MAD213,707,Li Index,Li Index,60,No Match,0,,0,,0,,,,,0.1875,0.1412,9.0842,0.1238,36.8843,0.2403,0.0128,0.0104,0.1089,0.007,7.1336,0.032,0.2046,0.009,,,,,,,,,,,,,,,,,0.0018,0.0016,0.0024,0.0018,,,,,0.0677,0.0018,0.0029,0.0004,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0047,0.0139,0.0092,,,< LOD,0.0012,< LOD,0.0038,,,,,,,,,,,0.0014,0.0012,0.025,0.0022,,,,,3,Passed,,
241,1/03/2006 18:57,Supervisor,MAD213,707.5,Li Index,Li Index,61,No Match,0,,0,,0,,,,,0.291,0.1473,3.5828,0.0868,39.6328,0.2532,< LOD,0.0105,0.1711,0.0082,1.6827,0.0168,0.4388,0.0093,< LOD,0.0664,,,< LOD,0.017,0.0277,0.019,0.9148,0.0597,,,< LOD,0.0038,0.0007,0.0006,0.0051,0.0018,< LOD,0.0016,,,,,0.0322,0.0013,0.0025,0.0004,,,< LOD,0.0005,0.0012,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0042,< LOD,0.0094,,,< LOD,0.0011,< LOD,0.0036,,,,,,,,,,,< LOD,0.0012,0.0072,0.0015,,,,,3,Passed,,
242,1/03/2006 18:59,Supervisor,MAD213,708,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.1392,7.6076,0.1202,38.1976,0.2441,< LOD,0.01,0.0798,0.0063,0.395,0.0089,1.1208,0.013,0.0527,0.0383,,,< LOD,0.0093,0.0177,0.0104,1.523,0.0535,,,< LOD,0.002,0.0006,0.0005,< LOD,0.0016,0.0019,0.0017,,,,,0.005,0.0005,0.0035,0.0005,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,0.0016,0.0013,,,,,< LOD,0.0046,< LOD,0.0099,,,< LOD,0.0011,< LOD,0.0031,,,,,,,,,,,< LOD,0.001,0.0051,0.0015,,,,,3,Passed,,
243,1/03/2006 19:00,Supervisor,MAD213,708.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1389,2.7604,0.0781,35.186,0.2305,< LOD,0.0107,0.1879,0.0086,0.7385,0.0115,0.5808,0.0095,,,,,,,,,,,,,,,,,< LOD,0.0014,< LOD,0.0016,,,,,0.0046,0.0006,0.0019,0.0004,,,< LOD,0.0005,< LOD,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0034,< LOD,0.009,,,< LOD,0.0011,< LOD,0.0034,,,,,,,,,,,< LOD,0.0011,0.0031,0.0013,,,,,3,Passed,,
244,1/03/2006 19:02,Supervisor,MAD213,709,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1339,3.6855,0.0867,35.6794,0.2329,0.0354,0.013,1.0322,0.018,1.7292,0.0169,0.7592,0.0111,,,,,,,,,,,,,,,,,< LOD,0.0015,< LOD,0.0017,,,,,0.0199,0.001,0.0011,0.0003,,,0.0007,0.0005,0.0006,0.0005,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.0039,< LOD,0.0094,,,< LOD,0.0011,< LOD,0.0033,,,,,,,,,,,< LOD,0.0011,0.0023,0.0013,,,,,3,Passed,,
245,1/03/2006 19:04,Supervisor,MAD213,709.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1274,7.3554,0.1168,39.3484,0.2497,< LOD,0.0099,0.0615,0.0058,0.4568,0.0094,0.9299,0.0118,,,,,,,,,,,,,,,,,< LOD,0.0016,0.0028,0.0019,,,,,0.0033,0.0005,0.0034,0.0004,,,< LOD,0.0005,0.0011,0.0005,,,,,,,,,,,,,,,0.0013,0.0013,,,,,< LOD,0.0041,< LOD,0.0099,,,< LOD,0.0012,< LOD,0.0032,,,,,,,,,,,< LOD,0.001,0.0039,0.0014,,,,,3,Passed,,
246,1/03/2006 19:06,Supervisor,MAD213,710,Li Index,Li Index,61,No Match,0,,0,,0,,,,,< LOD,0.1434,7.4445,0.1155,39.5752,0.2531,< LOD,0.0108,0.1182,0.0074,5.5789,0.0288,0.236,0.0089,0.0866,0.0653,,,< LOD,0.0141,0.0144,0.0125,0.267,0.0324,,,< LOD,0.0028,< LOD,0.0006,0.0037,0.0017,0.0018,0.0016,,,,,0.0625,0.0018,< LOD,0.0004,,,< LOD,0.0005,< LOD,0.0005,,,,,,,,,,,,,,,< LOD,0.0011,,,,,< LOD,0.0045,0.0119,0.0091,,,< LOD,0.001,< LOD,0.004,,,,,,,,,,,< LOD,0.0013,0.0072,0.0015,,,,,3,Passed,,
247,1/03/2006 19:07,Supervisor,MAD213,710.5,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.1525,8.316,0.1234,35.8761,0.2374,< LOD,0.011,0.0607,0.0062,6.256,0.0305,0.156,0.0086,0.1577,0.0988,,,< LOD,0.0224,0.0279,0.0228,2.1483,0.0914,,,< LOD,0.0026,< LOD,0.0007,0.0032,0.0017,0.0027,0.0018,,,,,0.0606,0.0017,0.0016,0.0004,,,< LOD,0.0005,0.0009,0.0005,,,,,,,,,,,,,,,0.0018,0.0013,,,,,< LOD,0.0051,< LOD,0.009,,,< LOD,0.0011,< LOD,0.0037,,,,,,,,,,,0.0014,0.0013,0.0097,0.0017,,,,,3,Passed,,
248,1/03/2006 19:09,Supervisor,MAD213,711,Li Index,Li Index,60,No Match,0,,0,,0,,,,,< LOD,0.4669,6.2237,0.1451,39.9443,0.2927,< LOD,0.0305,0.1475,0.013,0.8987,0.0157,1.8481,0.0195,,,,,,,,,,,,,,,,,0.0018,0.0015,0.0018,0.0016,,,,,0.003,0.0005,0.0032,0.0004,,,< LOD,0.0005,0.0008,0.0005,,,,,,,,,,,,,,,< LOD,0.0011,,,,,< LOD,0.0039,< LOD,0.009,,,0.0011,0.001,< LOD,0.0033,,,,,,,,,,,< LOD,0.0011,0.0028,0.0012,,,,,3,Passed,,
249,1/03/2006 19:10,Supervisor,MAD213,711.5,Li Index,Li Index,62,No Match,0,,0,,0,,,,,< LOD,0.1393,6.0751,0.1052,34.3976,0.228,< LOD,0.0109,0.0685,0.0063,4.4335,0.0259,0.246,0.0085,0.0465,0.0283,,,< LOD,0.0068,0.0248,0.0095,0.4181,0.0279,,,< LOD,0.0023,< LOD,0.0006,0.0023,0.0016,< LOD,0.0017,,,,,0.0461,0.0016,0.0014,0.0004,,,< LOD,0.0005,0.0007,0.0004,,,,,,,,,,,,,,,< LOD,0.0012,,,,,< LOD,0.004,< LOD,0.0087,,,< LOD,0.0011,< LOD,0.0041,,,,,,,,,,,< LOD,0.0013,0.0078,0.0016,,,,,3,Passed,,
